Frame result index,Frame Number,Person UUID,Person UUID Confidence,Headpose Pitch (deg),Headpose Yaw (deg),Headpose Roll (deg),Headpose Pitch Calib (deg),Headpose Yaw Calib (deg),Headpose (X:Y:Z) (mm),Headpose Confidence,Face Rect (X:Y Width X Height),Face Rect detect algorithm,Face Rect Confidence,EyeState Right,EyeState Left,EyeState Right Confidence,EyeState Left Confidence,Eyewear,Eyewear Confidence,EyeGaze Horizontal Left (deg),EyeGaze Horizontal Right (deg),EyeGaze Vertical Left (deg),EyeGaze Vertical Right (deg),Iris RadiusL (mm),Iris RadiusR (mm),Eye Aperture Left (mm),Eye Aperture Right (mm),Eye Aperture Left Confidence,Eye Aperture Right Confidence,Eyelid Closed Left (%),Eyelid Closed Right (%),Eye Center Left (X:Y) (mm),Eye Center Right (X:Y) (mm),Drowsiness Level (0-10),Age,Gender,Ethnic,Emotion,Heart rate,Breath rate,Illumination Variance,Illumination Tl Average,Illumination Bl Average,Illumination Tr Average,Illumination Br Average,Frame Time,Time From Start
0,14,,0,0.485044,0.952562,1.85032,0,0,-24.514:-41.464:728.573,0.99,203:145 183x183,512,0.814494,closed,closed,0.999818,0.999353,none,0.999512,9999,9999,9999,9999,9999,9999,0,0,0.989997,0.989914,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.978,520
0,15,,0,0.842319,1.04757,1.78491,0,0,-24.9044:-41.309:728.591,0.99,203:145 183x183,512,0.813679,closed,closed,0.999921,0.999816,none,0.999536,9999,9999,9999,9999,9999,9999,0,0,0.989586,0.966848,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.018,560
0,16,,0,0.654191,1.12562,1.74449,0,0,-25.1367:-41.4179:728.608,0.99,203:145 183x183,512,0.812866,closed,closed,0.999924,0.999879,none,0.999536,9999,9999,9999,9999,9999,9999,0,0,0.989518,0.98981,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.058,600
0,17,,0,0.276591,1.03482,1.59657,0,0,-24.9744:-41.6966:728.622,0.99,203:145 183x183,512,0.812053,closed,closed,0.999943,0.999874,none,0.999581,9999,9999,9999,9999,9999,9999,0,0,0.989962,0.988292,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.098,640
0,18,,0,0.539676,0.882654,1.65772,0,0,-24.7471:-41.7263:728.635,0.99,204:145 183x183,512,0.811241,closed,closed,0.999923,0.999926,none,0.999581,9999,9999,9999,9999,9999,9999,0,0,0.989569,0.988956,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.138,680
0,19,,0,0.664559,0.743465,1.70985,0,0,-24.3121:-42.0624:728.647,0.99,204:145 183x183,512,0.81043,closed,closed,0.999918,0.99995,none,0.999594,9999,9999,9999,9999,9999,9999,0,0,0.989765,0.989991,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.178,720
0,20,,0,0.739044,0.837945,1.64378,0,0,-24.0377:-41.9099:728.657,0.99,204:145 183x183,512,0.809619,closed,closed,0.999941,0.999892,none,0.999594,9999,9999,9999,9999,9999,9999,0,0,0.989767,0.989959,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.218,760
0,21,,0,1.00155,1.21918,1.52673,0,0,-24.0233:-41.6787:728.667,0.99,204:145 183x183,512,0.80881,closed,closed,0.999922,0.99989,none,0.999622,9999,9999,9999,9999,9999,9999,0,0,0.989991,0.989971,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.258,800
0,22,,0,0.842473,1.17147,1.62059,0,0,-23.7123:-41.5542:728.675,0.99,204:146 183x183,512,0.808001,closed,closed,0.999858,0.999846,none,0.999622,9999,9999,9999,9999,9999,9999,0,0,0.989959,0.989999,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.298,840
0,23,,0,0.886284,1.07869,1.78536,0,0,-23.7924:-41.4279:728.683,0.99,204:145 183x183,512,0.807193,closed,closed,0.999946,0.999852,none,0.999648,9999,9999,9999,9999,9999,9999,0,0,0.989318,0.989999,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:10.338,880
